#  g  ml cal prot fat carb fiber
# Oils
 -148     0    35   1.00   1.00   2.00   0.00 roma tomato
 -122   164    28   1.00   0.00   6.00   1.00 green tomato
 -110   165    46   1.00   0.00  11.00   2.00 onion
  110   165    46   1.00   0.00  11.00   2.00 chopped onion
  100   240    32   2.00   0.00   7.00   3.00 scallions
  100   152    72   3.00   0.00  17.00   0.00 shallots
  100   253    80   2.00   1.00  18.00   2.00 ginger
 -167     0    45   2.00   0.00  11.00   2.00 cucumber
   53   120     8   0.00   0.00   2.00   0.00 sliced cucumber
 -200     0    24   1.00   0.00   4.00   1.00 peeled cucumber
  117   240    14   1.00   0.00   3.00   1.00 sliced peeled cucumber
  133   240    16   1.00   0.00   3.00   1.00 pared chopped cucumber
 -194     0    31   2.00   0.00   7.00   2.00 zucchini
  113   240    18   1.00   0.00   4.00   1.00 sliced zucchini
  125   240    20   2.00   0.00   4.00   1.00 chopped zucchini
 -458     0   110   5.00   1.00  26.00  16.00 eggplant
  458     0   110   5.00   1.00  26.00  16.00 peeled eggplant
  550     0   132   6.00   1.00  31.00  19.00 unpeeled eggplant
   83   240    20   1.00   0.00   5.00   3.00 cubed eggplant
 -120   192    24   1.00   0.00   6.00   2.00 green pepper
 -120   192    31   1.00   0.00   7.00   2.00 bell pepper
 -120   192    31   1.00   0.00   7.00   2.00 green bell pepper
 -120   192    31   1.00   0.00   7.00   2.00 red bell pepper
 -120   192    31   1.00   0.00   7.00   2.00 yellow bell pepper
  -13    36     4   0.00   0.00   1.00   0.00 jalapeno
   13    36     4   0.00   0.00   1.00   0.00 sliced jalapeno
  -13    36     4   0.00   0.00   1.00   0.00 jalapeno pepper
   13    36     4   0.00   0.00   1.00   0.00 sliced jalapeno pepper
 -201   210   322   4.00  30.00  17.00  14.00 avocado
  284   478   219  15.00   1.00  39.00  12.00 peas
  284   478   219  15.00   1.00  39.00  12.00 frozen peas
 -130   236   112   2.00   0.00  26.00   4.00 sweet potato
 -167   250   174   3.00   4.00  32.00   3.00 potato
  180   240   204   4.00   0.00  44.00   1.00 rice white
  180   240   204   4.00   0.00  44.00   1.00 rice
  195   240   215   5.00   2.00  44.00   4.00 rice brown
    5     5    10   0.00   0.00   1.00   0.00 basic paste
    5     5    10   0.00   0.00   2.00   0.00 ginger paste
    5     5    15   0.00   0.00   2.00   0.00 garlic paste
   57   240     8   1.00   0.00   2.00   1.00 lettuce
   30   240     7   1.00   0.00   1.00   1.00 spinach
   61   240    22   2.00   0.00   4.00   2.00 parsley
  100   444    30   3.00   1.00   4.00   3.00 chives
  248   240    62   1.00   0.00  21.00   1.00 lime juice
  244   240    61   1.00   0.00  21.00   1.00 lemon juice
  100   232    47   2.00   0.00  16.00  11.00 lemon peel
  100   232    47   2.00   0.00  16.00  11.00 lemon zest
  240   240   286  12.00   3.00  55.00  11.00 garbanzos
  240   240   286  12.00   3.00  55.00  11.00 garbanzo beans
  240   240   286  12.00   3.00  55.00  11.00 chickpeas
  130   120   120   7.00   1.00  21.00   7.00 chili beans
  110   240    34   2.00   0.00   8.00   4.00 green beans
  -15    27     3   0.00   0.00   1.00   0.00 asparagus spear
  135   240    27   3.00   0.00   5.00   3.00 asparagus
  454   445   154   5.00   1.00  37.00  13.00 pumpkin canned
## Mushrooms
  -18    46     4   1.00   0.00   1.00   0.00 mushroom
  -18    46     4   1.00   0.00   1.00   0.00 white mushroom
  -18    46     4   1.00   0.00   1.00   0.00 brown mushroom
  100   352    22   3.00   0.00   3.00   1.00 sliced mushrooms
