fdc_id	kcal	prot	fat	carb	fiber	alc	atwater	desc
167728	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, rice and apples, dry
167729	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, juice, apple - cherry
167730	0.00	0.00	0.00	0.00	0.00	0.00		Milk, imitation, non-soy
167731	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, cereal, rice with pears and apple, dry, instant fortified
167732	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, banana no tapioca, strained
167733	0.00	0.00	0.00	0.00	0.00	0.00		Babyfood, banana apple dessert, strained
167734	0.00	0.00	0.00	0.00	0.00	0.00		Breakfast bar, corn flake crust with fruit
167735	0.00	0.00	0.00	0.00	0.00	0.00		Cheese, mozzarella, low sodium
167736	0.00	0.00	0.00	0.00	0.00	0.00	4.36,8.84,3.80	Mayonnaise dressing, no cholesterol
167737	0.00	0.00	0.00	0.00	0.00	0.00		Oil, corn, peanut, and olive
167738	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Pie fillings, blueberry, canned
167739	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Beverages, Cocktail mix, non-alcoholic, concentrated, frozen
167740	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Puddings, chocolate flavor, low calorie, regular, dry mix
167741	0.00	0.00	0.00	0.00	0.00	0.00	4.00,9.00,4.00	Puddings, all flavors except chocolate, low calorie, regular, dry mix
167742	0.00	0.00	0.00	0.00	0.00	0.00		Mollusks, scallop, (bay and sea), cooked, steamed
167743	0.00	0.00	0.00	0.00	0.00	0.00	0.00,0.00,3.68	Syrup, Cane
167744	0.00	0.00	0.00	0.00	0.00	0.00		Mollusks, snail, raw
167745	0.00	0.00	0.00	0.00	0.00	0.00		Turtle, green, raw
167746	0.00	0.00	0.00	0.00	0.00	0.00		Lemons, raw, without peel
167747	0.00	0.00	0.00	0.00	0.00	0.00		Lemon juice, raw
167748	0.00	0.00	0.00	0.00	0.00	0.00		Lemon juice from concentrate, canned or bottled
167749	0.00	0.00	0.00	0.00	0.00	0.00		Lemon peel, raw
167750	0.00	0.00	0.00	0.00	0.00	0.00		Prickly pears, raw
167751	0.00	0.00	0.00	0.00	0.00	0.00		Plums, dried (prunes), stewed, without added sugar
167752	0.00	0.00	0.00	0.00	0.00	0.00		Plums, dried (prunes), stewed, with added sugar
167753	0.00	0.00	0.00	0.00	0.00	0.00		Prune juice, canned
167754	0.00	0.00	0.00	0.00	0.00	0.00		Pummelo, raw
167755	0.00	0.00	0.00	0.00	0.00	0.00		Raspberries, raw
167756	0.00	0.00	0.00	0.00	0.00	0.00		Raspberries, canned, red, heavy syrup pack, solids and liquids
167757	0.00	0.00	0.00	0.00	0.00	0.00		Raspberries, frozen, red, sweetened
167758	0.00	0.00	0.00	0.00	0.00	0.00		Rhubarb, raw
167759	0.00	0.00	0.00	0.00	0.00	0.00		Sapodilla, raw
167760	0.00	0.00	0.00	0.00	0.00	0.00		Sapote, mamey, raw
